X     Y     River     Chainage
402280.875    490719.125    MAHAWATTA ELA     818.568  
402277.250    490720.688    MAHAWATTA ELA     822.610  
402272.719    490721.813    MAHAWATTA ELA     827.305  
402268.156    490722.969    MAHAWATTA ELA     832.000  
402263.594    490724.094    MAHAWATTA ELA     836.695  
402259.031    490725.250    MAHAWATTA ELA     841.390  
402254.531    490726.375    MAHAWATTA ELA     846.035  
402250.031    490727.500    MAHAWATTA ELA     850.681  
402245.531    490728.625    MAHAWATTA ELA     855.326  
402241.031    490729.750    MAHAWATTA ELA     859.972  
402236.406    490730.000    MAHAWATTA ELA     864.617  
402231.750    490730.000    MAHAWATTA ELA     869.263  
402227.125    490730.000    MAHAWATTA ELA     873.908  
402222.469    490730.000    MAHAWATTA ELA     878.554  
402217.813    490730.000    MAHAWATTA ELA     883.199  
402213.188    490730.000    MAHAWATTA ELA     887.845  
402208.531    490730.000    MAHAWATTA ELA     892.490  
402203.875    490730.000    MAHAWATTA ELA     897.135  
402199.250    490730.000    MAHAWATTA ELA     901.781  
402194.594    490730.000    MAHAWATTA ELA     906.426  
402189.938    490730.000    MAHAWATTA ELA     911.072  
402185.313    490730.000    MAHAWATTA ELA     915.717  
402180.656    490730.000    MAHAWATTA ELA     920.363  
402176.000    490730.000    MAHAWATTA ELA     925.008  
402171.375    490730.000    MAHAWATTA ELA     929.654  
402166.719    490730.000    MAHAWATTA ELA     934.299  
402162.063    490730.000    MAHAWATTA ELA     938.945  
402157.438    490730.000    MAHAWATTA ELA     943.590  
402152.812    490730.000    MAHAWATTA ELA     948.211  
402148.188    490730.000    MAHAWATTA ELA     952.831  
402143.562    490730.000    MAHAWATTA ELA     957.452  
402138.938    490730.000    MAHAWATTA ELA     962.073  
402134.344    490730.000    MAHAWATTA ELA     966.693  
402129.719    490730.000    MAHAWATTA ELA     971.314  
402125.094    490730.000    MAHAWATTA ELA     975.934  
402120.469    490730.000    MAHAWATTA ELA     980.555  
402115.844    490730.000    MAHAWATTA ELA     985.176  
402111.219    490730.000    MAHAWATTA ELA     989.796  
402106.656    490730.656    MAHAWATTA ELA     994.417  
402102.125    490731.563    MAHAWATTA ELA     999.037  
402097.625    490732.469    MAHAWATTA ELA    1003.658  
402093.094    490733.375    MAHAWATTA ELA    1008.279  
402088.563    490734.281    MAHAWATTA ELA    1012.899  
402084.031    490735.188    MAHAWATTA ELA    1017.520  
402080.188    490735.969    MAHAWATTA ELA    1021.415  
402076.375    490736.719    MAHAWATTA ELA    1025.310  
402072.563    490737.500    MAHAWATTA ELA    1029.205  
402068.750    490738.250    MAHAWATTA ELA    1033.100  
402064.906    490739.031    MAHAWATTA ELA    1036.995  
402061.094    490739.781    MAHAWATTA ELA    1040.890  
402057.219    490740.000    MAHAWATTA ELA    1044.785  
